"code_theme","libelle_theme","code_ogr_rome","code_rome","libelle_rome"
"001","Métiers de l'environnement et du développement durable","328","I1604","Mécanicien / Mécanicienne automobile"
"001","Métiers de l'environnement et du développement durable","488866","I1618","Mécanicien / Mécanicienne en matériels motorisés de parcs et jardins"
"001","Métiers de l'environnement et du développement durable","392","K1702","Responsable de sécurité civile et de secours"
"001","Métiers de l'environnement et du développement durable","395","K1705","Secouriste"
"001","Métiers de l'environnement et du développement durable","399","K1802","Chargé / Chargée de développement local"
"001","Métiers de l'environnement et du développement durable","402","K1903","Juriste"
"001","Métiers de l'environnement et du développement durable","420","K2301","Agent / Agente d'assainissement"
"001","Métiers de l'environnement et du développement durable","421","K2302","Directeur / Directrice collecte des déchets"
"001","Métiers de l'environnement et du développement durable","422","K2303","Ripeur / Ripeuse"
"001","Métiers de l'environnement et du développement durable","423","K2304","Agent / Agente de tri des déchets"
"001","Métiers de l'environnement et du développement durable","424","K2305","Agent / Agente de désinsectisation"
"001","Métiers de l'environnement et du développement durable","425","K2306","Responsable de site éco-industriel"
"001","Métiers de l'environnement et du développement durable","488790","K2307","Agent / Agente de propreté urbaine"
"001","Métiers de l'environnement et du développement durable","489068","K2308","Opérateur / Opératrice de tri en récupération et revalorisation"
"001","Métiers de l'environnement et du développement durable","489069","K2309","Technicien / Technicienne réutilisation recyclage"
"001","Métiers de l'environnement et du développement durable","489221","K2310","Ambassadeur / Ambassadrice du tri"
"001","Métiers de l'environnement et du développement durable","427","K2402","Ingénieur / Ingénieure de recherche scientifique"
"001","Métiers de l'environnement et du développement durable","488592","K2407","Climatologue"
"001","Métiers de l'environnement et du développement durable","468","M1402","Consultant / Consultante en organisation et management"
"001","Métiers de l'environnement et du développement durable","469","M1403","Chargé / Chargée d'études socio-économiques"
"001","Métiers de l'environnement et du développement durable","488287","M1406","Responsable RSE - Responsabilité Sociétale de l'Entreprise"
"001","Métiers de l'environnement et du développement durable","488729","M1410","Responsable Green IT"
"001","Métiers de l'environnement et du développement durable","488778","M1412","Ergonome"
"001","Métiers de l'environnement et du développement durable","488936","M1413","Chargé / Chargée de mission RSE - Responsabilité Sociétale de l'Entreprise"
"001","Métiers de l'environnement et du développement durable","497","M1808","Cartographe"
"001","Métiers de l'environnement et du développement durable","498","M1809","Météorologue"
"001","Métiers de l'environnement et du développement durable","488890","M1835","Architecte systèmes et réseaux des territoires connectés"
"001","Métiers de l'environnement et du développement durable","488917","M1840","Directeur / Directrice de projets des territoires connectés"
"001","Métiers de l'environnement et du développement durable","489174","M1857","Urbaniste Datacenter"
"001","Métiers de l'environnement et du développement durable","488857","N4118","Conducteur / Conductrice enlèvement de déchets"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","403075","F1109","Assistant / Assistante géomètre"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","155","F1302","Conducteur / Conductrice d'engins de chantier"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","175","F1702","Ouvrier / Ouvrière en voiries"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","177","F1704","Manœuvre bâtiment"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","314","I1305","Électronicien / Électronicienne de maintenance"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","319","I1310","Mécanicien / Mécanicienne de maintenance industrielle"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488911","I1318","Instrumentiste Industriel / Industrielle"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","323","I1502","Scaphandrier / Scaphandrière"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","324","I1503","Technicien / Technicienne en risques technologiques"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","489013","I1507","Opérateur / Opératrice démantèlement nucléaire"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","489079","I1611","Préparateur / Préparatrice de véhicules automobiles"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488742","I1615","Dépanneur-remorqueur / Dépanneuse-remorqueuse de véhicules"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488791","I1617","Contrôleur / Contrôleuse technique de véhicules"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","391","K1701","Militaire du rang Combattant / Combattante"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","392","K1702","Responsable de sécurité civile et de secours"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","393","K1703","Responsable Opérationnel / Opérationnelle de la défense"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","394","K1704","Officier / Officière de police"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","395","K1705","Secouriste"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","396","K1706","Agent / Agente de la force publique"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488320","K1709","Commissaire de police"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488345","K1710","Officier de police judiciaire / Officière de police judiciaire"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488593","K1711","Surveillant pénitentiaire / Surveillante pénitentiaire"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488708","K1712","Conducteur / Conductrice de véhicule de combat"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488712","K1713","Tireur / Tireuse d'engin blindé"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488892","K1714","Missilier / Missilière artillerie"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488906","K1715","Officier / Officière des forces armées"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488907","K1716","Chef / Cheffe de service pénitentiaire"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","489034","K1717","Technicien électronicien / Technicienne électronicienne des armées"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","489053","K1718","Mécanicien / Mécanicienne de systèmes d'armes"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","489212","K1721","Technicien / Technicienne en investigation criminelle"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","489180","K1722","Conducteur / Conductrice d'autorité de l'armée"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488725","K1724","Mécanicien / Mécanicienne d'engins blindés"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","496","M1807","Opérateur / Opératrice télécom aux armées"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","497","M1808","Cartographe"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","498","M1809","Météorologue"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","489017","M1844","Analyste en cybersécurité"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","489026","M1846","Ingénieur / Ingénieure Cybersécurité Datacenter"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","511","N2102","Pilote de ligne"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","513","N2202","Contrôleur aérien / Contrôleuse aérienne"
