"code_grand_domaine","code_domaine_professionnel","numero_fiche_rome","intitule","libelle_appellation_long","libelle_appellation_court","type_provenance","code_fiche","ogr_rome","ogr_appellation"
"","","","","Arboriste grimpeur / Arboriste grimpeuse","Arboriste grimpeur / Arboriste grimpeuse","4","32672","488755","11106"
"","","","","Éhouppeur / Éhouppeuse","Éhouppeur / Éhouppeuse","4","32672","488755","14607"
"","","","","Élagueur / Élagueuse","Élagueur / Élagueuse","4","32672","488755","14608"
"","","","","Élagueur / Élagueuse espaces verts","Élagueur / Élagueuse espaces verts","4","32672","488755","14609"
"","","","","Élagueur-botteur / Élagueuse-botteuse","Élagueur-botteur / Élagueuse-botteuse","4","32672","488755","14610"
"","","","","Élagueur-grimpeur / Élagueuse-grimpeuse","Élagueur-grimpeur / Élagueuse-grimpeuse","4","32672","488755","14611"
"","","","","Grimpeur-élagueur / Grimpeuse-élagueuse","Grimpeur-élagueur / Grimpeuse-élagueuse","4","32672","488755","15429"
"A","12","10","Ouvrier forestier / Ouvrière forestière","","","3","32715","488859",""
"","","","","Manœuvre forestier / Manœuvre forestière","Manœuvre forestier / Manœuvre forestière","4","32715","488859","16353"
"","","","","Ouvrier forestier / Ouvrière forestière","Ouvrier forestier / Ouvrière forestière","4","32715","488859","17502"
"","","","","Ouvrier sylvicole / Ouvrière sylvicole","Ouvrier sylvicole / Ouvrière sylvicole","4","32715","488859","17536"
"","","","","Ouvrier sylviculteur / Ouvrière sylvicultrice","Ouvrier sylviculteur / Ouvrière sylvicutrice","4","32715","488859","17537"
"A","12","11","Chef / Cheffe d'équipe paysagiste","","","3","32826","489042",""
"","","","","Chef / Cheffe d'équipe paysagiste","Chef d'équipe paysagiste","4","32826","489042","12482"
"","","","","Chef d'équipe d'entretien des espaces verts","Chef d'équipe d'entretien des espaces verts","4","32826","489042","12439"
"","","","","Technicien / Technicienne paysagiste","Technicien / Technicienne paysagiste","4","32826","489042","38077"
"A","12","12","Chef / Cheffe d'équipe de travaux forestiers","","","3","32842","489058",""
"","","","","Chef / Cheffe d'équipe de travaux forestiers","Chef / Cheffe d'équipe de travaux forestiers","4","32842","489058","489099"
"","","","","Chef d'équipe de travaux forestiers","Chef d'équipe de travaux forestiers","4","32842","489058","38438"
"","","","","Contremaître / Contremaîtresse d'exploitation forestière","Contremaître / Contremaîtresse d'exploitation forestière","4","32842","489058","13572"
"A","12","13","Conducteur / Conductrice de travaux forestiers","","","3","32871","489160",""
"","","","","Chef / Cheffe de chantiers forestiers","Chef / Cheffe de chantiers forestiers","4","32871","489160","490472"
"","","","","Chef de district forestier","Chef de district forestier","4","32871","489160","12136"
"","","","","Conducteur / Conductrice de travaux forestiers","Conducteur / Conductrice de travaux forestiers","4","32871","489160","38439"
"","","","","Responsable de secteur sur chantiers forestiers","Responsable de secteur sur chantiers forestiers","4","32871","489160","490471"
"A","13","","Etudes et assistance technique","","","2","","",""
"A","13","01","Technicien / Technicienne de culture maraîchère","","","3","27","12",""
"","","","","Conseiller / Conseillère d'élevage en production laitière","Conseiller / Conseillère d'élevage en production laitière","4","27","12","13395"
"","","","","Conseiller forestier / Conseillère forestière","Conseiller forestier / Conseillère forestière","4","27","12","13459"
