"code_rome","riasec_majeur","riasec_mineur"
"K1402","I","C"
"K1403","E","S"
"K1404","E","C"
"K1405","E","C"
"K1406","C","S"
"K1407","E","S"
"K1408","S","C"
"K1409","S","E"
"K1410","E","S"
"K1501","C","I"
"K1502","C","E"
"K1503","C","S"
"K1504","C","S"
"K1505","C","R"
"K1601","C","E"
"K1602","A","C"
"K1603","C",""
"K1604","E",""
"K1605","E","A"
"K1606","I","A"
"K1607","A","I"
"K1701","R","C"
"K1702","R","E"
"K1703","E","C"
"K1704","R","C"
"K1705","R","S"
"K1706","C","R"
"K1707","C","R"
"K1708","C","S"
"K1709","E","S"
"K1710","C","I"
"K1711","S","C"
"K1712","R",""
"K1713","R",""
"K1714","R",""
"K1715","E","C"
"K1716","C","S"
"K1717","R",""
"K1718","R",""
"K1719","C","S"
"K1720","C","R"
"K1721","I","C"
"K1722","R",""
"K1723","R",""
"K1724","R",""
"K1801","S","E"
"K1802","E","S"
"K1901","C","E"
"K1902","C","E"
"K1903","C","S"
"K1904","C","I"
"K1905","C",""
"K1906","C",""
"K1907","C","A"
"K1908","C",""
"K2101","S","I"
"K2102","C","S"
"K2103","C","S"
"K2104","S","C"
"K2105","S","A"
"K2106","S","C"
"K2107","S","C"
"K2108","S","I"
"K2109","S","C"
"K2110","S","R"
"K2111","S","E"
"K2112","S","E"
"K2113","S",""
"K2114","C","S"
"K2115","C","S"
"K2116","E","S"
"K2117","C",""
"K2118","C","S"
"K2201","R","C"
"K2202","R","C"
"K2203","C","E"
"K2204","R","C"
"K2205","R","C"
"K2301","R","C"
"K2302","C","R"
"K2303","R","C"
"K2304","R","C"
"K2305","R","C"
"K2306","R","C"
"K2307","R",""
"K2308","R","C"
"K2309","R","C"
"K2310","S","C"
"K2401","I","E"
"K2402","I","C"
"K2403","I","C"
"K2404","I",""
"K2405","I",""
"K2406","I","E"
"K2407","I",""
"K2408","I",""
"K2409","I",""
"K2410","I",""
"K2501","R","C"
"K2502","C","R"
"K2503","C","R"
"K2504","C","S"
"K2505","C",""
"K2506","R","C"
"K2601","R","C"
"K2602","C","E"
"K2603","R","I"
"L1101","A","S"
"L1102","A","R"
"L1103","A","S"
"L1201","A","R"
"L1202","A","S"
"L1203","A","E"
"L1204","A","R"
"L1205","A",""
"L1206","A",""
"L1207","A","R"
"L1208","A","S"
"L1301","A","E"
"L1302","E","A"
"L1303","E","A"
"L1304","A","C"
"L1305","A","E"
"L1401","E","S"
"L1402","C","S"
"L1501","A","R"
"L1502","A","R"
"L1503","A","R"
"L1504","A","R"
"L1505","A","R"
"L1506","A","R"
"L1507","A","R"
"L1508","A","R"
"L1509","C","A"
"L1510","A","I"
"L1511","R","A"
"L1512","E","A"
"L1513","A","R"
"M1101","C","E"
"M1102","E","C"
"M1201","E","I"
"M1202","C","I"
"M1203","C","E"
"M1204","C","E"
"M1205","C","C"
"M1206","C","E"
"M1207","C","E"
"M1208","C",""
"M1209","C",""
"M1210","C",""
"M1301","E","I"
"M1302","E","C"
"M1401","I","C"
"M1402","E","C"
"M1403","I","C"
"M1404","C","E"
"M1405","I","C"
"M1406","C",""
"M1407","I",""
"M1408","I",""
"M1409","C","I"
"M1410","C",""
"M1411","I","C"
"M1412","I","S"
"M1413","C","S"
"M1414","I",""
"M1501","C","S"
"M1502","E","C"
"M1503","E","C"
"M1504","C","S"
"M1505","S","C"
"M1506","E","C"
"M1507","C",""
"M1601","C","S"
"M1602","C","S"
"M1603","C","R"
"M1604","C","S"
"M1605","C","S"
"M1606","C",""
"M1607","C","S"
"M1608","C",""
"M1609","C","S"
"M1610","E","C"
"M1611","C",""
"M1612","C",""
"M1613","C",""
"M1614","C",""
"M1615","C",""
"M1616","S","C"
"M1617","C","I"
"M1701","C","E"
"M1702","E","I"
"M1703","E","C"
"M1704","E","C"
"M1705","E","C"
"M1706","E","C"
"M1707","E","C"
"M1708","E","C"
"M1709","E","C"
"M1710","I","C"
"M1711","E","C"
"M1712","E","I"
"M1713","E","S"
"M1714","I","C"
"M1715","E","C"
"M1716","E","C"
"M1801","I","C"
"M1802","I","C"
"M1803","E","C"
"M1804","I","R"
"M1805","I","C"
"M1806","I","C"
"M1807","I","R"
"M1808","I","C"
"M1809","I","C"
"M1810","I","C"
"M1811","I","C"
"M1812","E","C"
"M1813","I","C"
"M1814","C","I"
"M1815","I","C"
"M1816","R","I"
"M1817","C",""
"M1818","I","R"
"M1819","I","C"
"M1820","I","C"
"M1821","I","C"
"M1822","I","C"
"M1823","I","C"
"M1824","I","C"
"M1825","C","I"
"M1826","I","C"
"M1827","I","C"
"M1828","E","I"
"M1829","I","R"
"M1830","I","R"
"M1831","I","R"
"M1832","I","C"
"M1833","I","C"
"M1834","I","C"
"M1835","I","R"
"M1836","I","C"
"M1837","I","R"
"M1838","I","C"
