"code_rome","code_fiche_metier","code_ogr","libelle_rome","transition_eco","transition_num","transition_demo","emploi_reglemente","emploi_cadre","code_rome_parent"
"C1204","91","68","Gestionnaire de produits bancaires","Emploi Blanc","","","","","C1204"
"C1205","30032","69","Conseiller / Conseillère en gestion de patrimoine","Emploi Blanc","N","N","N","O","C1205"
"C1206","84","70","Conseiller / Conseillère de clientèle bancaire","Emploi Blanc","","","","","C1206"
"C1207","90","71","Directeur / Directrice d'agence bancaire","Emploi Blanc","","","","","C1207"
"C1208","30033","403084","Courtier / Courtière en banque","Emploi Blanc","N","N","N","O","C1206"
"C1301","96","72","Trader","Emploi Blanc","","","","","C1301"
"C1302","98","73","Gestionnaire des opérations sur les marchés financiers","Emploi Blanc","","","","","C1302"
"C1303","95","74","Gérant / Gérante de portefeuille financier","Emploi Blanc","","","","","C1303"
"C1401","100","75","Agent administratif / Agente administrative banque ou assurance","Emploi Blanc","","","","","C1401"
"C1501","104","76","Gestionnaire de copropriété","Emploi Blanc","","","","","C1501"
"C1502","102","77","Chargé / Chargée de gestion locative en immobilier","Emploi Blanc","","","","","C1502"
"C1503","108","78","Chargé / Chargée d'affaires immobilières","Emploi Blanc","","","","","C1503"
"C1504","106","79","Conseiller / Conseillère immobilier","Emploi Blanc","","","","","C1504"
"C1505","30036","403085","Responsable d'agence immobilière","Emploi Blanc","N","N","N","O","C1504"
"C1506","32824","489040","Responsable de projet immobilier","Emploi Blanc","N","N","N","O","C1503"
"D1101","82","80","Boucher / Bouchère","Emploi Brun","N","N","N","N","D1101"
"D1102","78","81","Boulanger / Boulangère","Emploi Blanc","N","N","N","N","D1102"
"D1103","85","82","Charcutier-traiteur / Charcutière-traiteuse","Emploi Brun","","","","","D1103"
"D1104","80","83","Pâtissier / Pâtissière","Emploi Blanc","","","","","D1104"
"D1105","87","84","Poissonnier / Poissonnière","Emploi Blanc","","","","","D1105"
"D1106","76","85","Épicier / Épicière","Emploi stratégique pour la Transition écologique","","","","","D1106"
"D1107","73","86","Grossiste en produits frais","Emploi Blanc","","","","","D1107"
"D1108","32579","488597","Chef boulanger / Cheffe boulangère","Emploi Blanc","N","N","N","N","D1102"
"D1109","32889","489178","Chef boucher / Cheffe bouchère","Emploi Brun","N","N","N","N","D1101"
"D1201","101","87","Brocanteur / Brocanteuse","Emploi Blanc","","","","","D1201"
"D1202","109","88","Coiffeur / Coiffeuse","Emploi Blanc","N","N","N","N","D1202"
"D1203","113","89","Agent thermal / Agente thermale","Emploi Blanc","","","","","D1203"
"D1204","117","90","Loueur / Loueuse de véhicules","Emploi Blanc","","","","","D1204"
"D1205","115","91","Employé / Employée de pressing","Emploi Blanc","","","","","D1205"
"D1206","105","92","Cordonnier / Cordonnière","Emploi stratégique pour la Transition écologique","","","","","D1206"
"D1207","103","93","Retoucheur / Retoucheuse en habillement","Emploi stratégique pour la Transition écologique","","","","","D1207"
"D1208","111","94","Esthéticien / Esthéticienne","Emploi Blanc","","","","","D1208"
"D1209","99","95","Fleuriste","Emploi stratégique pour la Transition écologique","N","N","N","N","D1209"
"D1210","89","96","Vendeur / Vendeuse en animalerie","Emploi Blanc","","","","","D1210"
"D1211","107","97","Vendeur / Vendeuse d'articles de sport et loisirs","Emploi Blanc","","","","","D1211"
"D1212","94","98","Vendeur / Vendeuse en équipement de la maison","Emploi Blanc","","","","","D1212"
"D1213","92","99","Vendeur / Vendeuse grossiste de matériels et équipements","Emploi Blanc","","","","","D1213"
"D1214","97","100","Vendeur / Vendeuse en prêt-à-porter","Emploi Blanc","","","","","D1214"
"D1215","32596","488614","Posticheur / Posticheuse","Emploi Blanc","N","N","N","N","D1202"
"D1216","32599","488617","Coiffeur barbier / Coiffeuse barbière","Emploi Blanc","N","N","N","N","D1202"
"D1217","32701","488784","Socio-coiffeur / Socio-coiffeuse","Emploi Blanc","N","N","N","N","D1202"
"D1218","32775","488919","Formateur coiffeur / Formatrice coiffeuse","Emploi Blanc","N","N","N","N","D1202"
"D1219","32794","489010","Vendeur / Vendeuse conseil en jardinerie","Emploi stratégique pour la Transition écologique","N","N","N","N","D1209"
"D1220","32820","489036","Gérant / Gérante salon de coiffure","Emploi Blanc","N","N","N","N","D1202"
"D1221","32840","489056","Vendeur / Vendeuse de produits culturels et ludiques","Emploi Blanc","N","N","N","N","D1211"
"D1222","32940","489570","Masseur / Masseuse bien-être","Emploi Blanc","N","N","N","N","D1208"
"D1301","120","101","Responsable de magasin","Emploi Blanc","","","","","D1301"
"D1302","32600","488618","Responsable de boutique","Emploi Blanc","N","N","N","N","D1301"
"D1401","30031","102","Assistant commercial / Assistante commerciale","Emploi Blanc","N","N","N","O","D1401"
"D1402","124","103","Commercial / Commerciale grands comptes et entreprises","Emploi Blanc","","","","","D1402"
"D1403","127","104","Commercial / Commerciale auprès des particuliers","Emploi Blanc","","","","","D1403"
"D1404","129","105","Commercial / Commerciale en automobiles","Emploi Blanc","","","","","D1404"
"D1405","131","106","Conseiller / Conseillère en information médicale","Emploi Blanc","N","N","N","N","D1405"
"D1406","135","107","Responsable des ventes","Emploi Blanc","","","","","D1406"
"D1407","30030","108","Technico-commercial / Technico-commerciale","Emploi Blanc","N","N","N","O","D1407"
"D1408","122","109","Téléconseiller / Téléconseillère","Emploi Blanc","","","","","D1408"
"D1409","125","403074","Assistant / Assistante administration des ventes","Emploi Blanc","","","","","D1401"
"D1410","30034","403086","Attaché commercial / Attachée commerciale","Emploi Blanc","N","N","N","O","D1401"
"D1411","32398","488282","Responsable Efficacité Commerciale (SFE)","Emploi Blanc","N","N","N","O","M1707"
"D1412","32406","488290","Délégué médical hospitalier / Déléguée médicale hospitalière","Emploi Blanc","N","N","N","N","D1405"
"D1413","32417","488301","Délégué / Déléguée pharmaceutique","Emploi Blanc","N","N","N","N","D1405"
"D1414","32442","488326","Responsable de zone internationale","Emploi Blanc","N","N","N","O","D1406"
"D1415","32724","488868","Chargé / Chargée de relation client","Emploi Blanc","N","N","N","N","D1401"
